batter,againstTeam,batsman_run
A Ashish Reddy,Chennai Super Kings,3
A Ashish Reddy,Delhi Daredevils,1
A Ashish Reddy,Kings XI Punjab,2
A Ashish Reddy,Kolkata Knight Riders,1
A Ashish Reddy,Mumbai Indians,2
A Ashish Reddy,Pune Warriors,1
A Ashish Reddy,Rajasthan Royals,1
A Ashish Reddy,Royal Challengers Bangalore,4
A Badoni,Chennai Super Kings,2
A Badoni,Delhi Capitals,1
A Badoni,Gujarat Titans,3
A Badoni,Mumbai Indians,1
A Choudhary,Sunrisers Hyderabad,1
A Flintoff,Mumbai Indians,1
A Flintoff,Royal Challengers Bangalore,1
A Manohar,Rajasthan Royals,2
A Manohar,Sunrisers Hyderabad,1
A Mishra,Chennai Super Kings,1
A Mishra,Kolkata Knight Riders,1
A Mishra,Mumbai Indians,1
A Mishra,Rising Pune Supergiants,1
A Mishra,Royal Challengers Bangalore,1
A Mithun,Kings XI Punjab,1
A Nehra,Deccan Chargers,1
AA Jhunjhunwala,Chennai Super Kings,1
AA Jhunjhunwala,Delhi Daredevils,1
AA Jhunjhunwala,Kings XI Punjab,1
AA Jhunjhunwala,Mumbai Indians,2
AB Agarkar,Deccan Chargers,1
AB Agarkar,Delhi Daredevils,2
AB Agarkar,Rajasthan Royals,2
AB Barath,Mumbai Indians,1
AB McDonald,Delhi Daredevils,2
AB McDonald,Mumbai Indians,1
AB McDonald,Royal Challengers Bangalore,1
AB de Villiers,Chennai Super Kings,25
AB de Villiers,Deccan Chargers,6
AB de Villiers,Delhi Capitals,10
AB de Villiers,Delhi Daredevils,20
AB de Villiers,Gujarat Lions,17
AB de Villiers,Kings XI Punjab,42
AB de Villiers,Kochi Tuskers Kerala,5
AB de Villiers,Kolkata Knight Riders,25
AB de Villiers,Mumbai Indians,36
AB de Villiers,Pune Warriors,10
AB de Villiers,Punjab Kings,2
AB de Villiers,Rajasthan Royals,24
AB de Villiers,Rising Pune Supergiants,6
AB de Villiers,Sunrisers Hyderabad,25
AC Blizzard,Kolkata Knight Riders,2
AC Gilchrist,Chennai Super Kings,11
AC Gilchrist,Deccan Chargers,5
AC Gilchrist,Delhi Daredevils,15
AC Gilchrist,Kings XI Punjab,5
AC Gilchrist,Kolkata Knight Riders,9
AC Gilchrist,Mumbai Indians,16
AC Gilchrist,Pune Warriors,1
AC Gilchrist,Rajasthan Royals,9
AC Gilchrist,Royal Challengers Bangalore,21
AC Thomas,Deccan Chargers,1
AC Voges,Kings XI Punjab,1
AC Voges,Kolkata Knight Riders,2
AD Hales,Delhi Daredevils,3
AD Hales,Royal Challengers Bangalore,3
AD Mascarenhas,Delhi Daredevils,1
AD Mathews,Chennai Super Kings,2
AD Mathews,Deccan Chargers,4
AD Mathews,Delhi Daredevils,4
AD Mathews,Kolkata Knight Riders,10
AD Mathews,Mumbai Indians,2
AD Mathews,Rajasthan Royals,1
AD Mathews,Royal Challengers Bangalore,4
AD Mathews,Sunrisers Hyderabad,2
AD Nath,Chennai Super Kings,1
AD Nath,Kolkata Knight Riders,1
AD Russell,Chennai Super Kings,26
AD Russell,Delhi Capitals,15
AD Russell,Delhi Daredevils,11
AD Russell,Gujarat Titans,6
AD Russell,Kings XI Punjab,17
AD Russell,Lucknow Super Giants,5
AD Russell,Mumbai Indians,15
